,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,class
184739,126367.0,0.108215356,1.313113464,0.689168579,2.532937383,1.385234059,0.223479201,1.250493055,-0.177697481,-1.922665892,1.240705788,0.231126292,-0.213345634,-0.137107964,0.27487108,-1.360602241,1.079482588,-1.452584624,0.400000817,-1.593731553,-0.164553498,0.289083398,0.917364303,-0.291899644,-0.412231107,-0.156951167,0.034923361,-0.136981411,-0.193821225,6.05,0
81709,59057.0,1.163511278,-2.038313589,1.369360273,-1.121560362,-2.518039253,0.477697474,-2.025875239,0.380451591,-0.67239333,1.366801914,0.103843484,-0.872690821,-1.019919033,-0.758564876,-0.718601984,0.026658658,0.400443485,1.270370331,0.12974752,-0.154458229,0.082830748,0.50287253,-0.185056029,0.00592423,0.222181861,0.018179635,0.068038949,0.041948644,136.38,0
14118,25119.0,-0.73585724,0.928405058,-0.21688934,-0.712705888,2.088128046,3.74248831,-0.46245401,1.361802989,1.147883052,-0.98229572,0.039720843,-2.404812825,1.424271993,1.601981428,-1.238044905,-0.079243481,0.499798559,0.385103776,0.491101139,0.040405086,-0.181249826,-0.222117145,-0.147111722,0.993326813,0.02277657,0.342095198,0.207486105,0.125497479,10.0,0
80499,58513.0,-0.908524149,1.174392258,2.725455207,1.483079677,0.167573925,0.13988438,0.617464618,0.248485452,-1.218386127,-0.118864266,0.855707436,0.816295474,0.012909452,-0.170255274,-1.893274576,0.646532189,-0.687520283,-0.21540187,-0.861337667,-0.129513168,-0.241247276,-0.72812645,-0.156214488,0.487035507,0.213212316,-0.390418815,0.031915754,0.065222594,2.11,0
23629,32847.0,1.143772249,-0.620735357,0.852209708,0.189237167,-1.117344396,-0.117860756,-0.671801005,0.137507502,1.411716226,-0.441133622,-1.438663602,-0.210848408,-1.105069654,-0.339140204,-0.131628614,0.086496649,0.032878151,-0.322488018,0.644218026,-0.030198372,-0.248157926,-0.627398569,-0.013990786,-0.070056438,0.143369449,0.971989461,-0.051921054,0.015879373,61.16,0
210216,137887.0,1.76927513,0.121781894,-0.271412872,3.328139974,0.986528231,2.792971706,-0.854715894,0.762854029,-0.618199636,1.393415969,0.397690704,0.794163578,0.703350697,-0.148162387,-0.531579942,0.668805423,-0.632940778,-0.622799148,-2.251632357,-0.286046351,0.291516137,1.043031039,0.175063476,-0.945002497,-0.288136609,0.153328271,0.058230412,-0.053536939,0.0,0
88421,62133.0,1.260341238,0.264828634,0.517866678,0.619430983,-0.463445328,-0.989075838,0.075512996,-0.217053999,0.01472995,-0.07157444,-0.180611188,0.475872702,0.514407232,0.1996694,1.00985392,0.293043046,-0.433925805,-0.56725959,-0.120768609,-0.080528526,-0.255061373,-0.727826447,0.134245919,0.385752781,0.22403397,0.093849201,-0.027749979,0.019460445,1.79,0
224750,143947.0,1.804864224,-0.4500976,-0.497071586,1.446235651,-0.343058369,0.169933804,-0.330424235,0.174087733,1.083524012,0.161373177,-0.119033233,0.787742857,-1.173160538,0.109409447,-1.776637881,-0.064211179,-0.383983107,-0.133460803,0.636036259,-0.21312815,-0.473875232,-1.276757962,0.337565403,-0.514548761,-0.350899981,-1.103566272,0.033143769,-0.03615737,66.23,0
109427,71381.0,-0.921473731,1.047623119,1.032250464,-1.549823945,0.007715951,-0.305820558,0.205817583,0.532460531,-0.507351549,-0.806546569,0.460626197,0.949515119,0.903312751,0.255096434,-0.25864902,1.122106792,-1.102058768,0.35874118,-0.095337271,0.008695985,-0.034390082,-0.172722956,-0.143485024,-0.442571554,-0.212417889,0.752705626,0.133435776,0.094849906,3.84,0
44123,41804.0,-1.562583395,1.817583361,2.434351289,2.943126146,-0.921416047,0.367285503,-0.252558996,0.19411522,-0.285137652,1.387185959,-0.551977148,0.239999298,0.678191332,-0.673289563,0.397717292,-0.309316774,0.326750351,-0.052268811,0.839033163,0.151552149,0.10000505,0.303871732,-0.012109259,0.724134422,-0.343266658,0.065862926,-0.843705567,-0.065603845,0.76,0
53102,45814.0,0.811392695,-1.206688742,0.395329273,-0.014844291,-0.670247982,1.12895022,-0.650333724,0.415275481,1.140894324,-0.393233614,-0.076725713,0.470915525,-0.832203158,-0.166517736,-0.536692031,0.195597776,-0.192376741,-0.054049579,0.778034747,0.296093819,-0.118159425,-0.586271565,-0.215966925,-1.077756288,0.082235476,1.008149466,-0.067449843,0.022610297,213.28,0
60697,49452.0,-0.827154205,0.515309185,0.819948722,-1.18707243,0.244577449,-0.519498807,0.467511584,0.086160746,0.097330937,-0.057894077,0.226637129,-0.591170936,-1.751188853,0.469489703,-0.071893914,0.834969162,-1.001083232,0.703890541,-0.054477974,-0.139270852,0.145139641,0.40077987,-0.022562198,-0.325193354,-0.420611597,0.905867956,0.029726972,0.199600204,8.83,0
119239,75379.0,0.943534017,-1.097409741,0.610820388,0.489024828,-1.112083258,0.592192011,-0.816543307,0.304750018,-0.499634518,0.791648923,0.476514306,-0.016799534,-1.074241127,0.239637564,0.049756026,-1.369618083,-0.073002478,1.767107765,-1.098580753,-0.335420085,-0.109817787,-0.075694167,-0.191626882,-0.357652924,0.365914971,-0.201033379,0.053464173,0.040373141,158.0,0
5262,5104.0,0.208181442,-1.874667309,0.619397254,0.520305404,-1.208326371,0.750832778,-0.301191296,0.126240656,2.036458534,-0.87102102,1.98157664,-1.21871981,2.023825366,1.247207571,-0.834263994,0.18414466,0.564838952,0.103420229,-0.075028348,0.90119912,0.089921732,-0.403620318,-0.387358896,-0.247840009,-0.141068902,0.930547137,-0.139658395,0.079269395,500.0,0
39270,39769.0,1.159838384,0.226872869,0.312965182,1.186333027,0.145957193,0.348201696,-0.000254643,0.111932959,-0.060100841,0.025838118,0.997447188,1.512385764,0.597854265,0.090238557,-0.854423799,-0.467418029,-0.150079149,-0.470087823,0.042875726,-0.135043181,-0.067484695,0.061510635,-0.117582109,-0.267075157,0.705295488,-0.311649433,0.04197729,0.002871326,1.0,0
185783,126821.0,-1.450556836,1.871576589,-0.973765372,-0.909008152,-0.092799171,-0.672054545,0.167150288,0.810026477,0.021286354,0.341861967,0.141122599,1.057728403,0.212259056,0.649993119,-1.10025306,0.410996841,-0.534137898,-0.088442497,0.287166488,0.132705842,-0.231040973,-0.631924571,0.12840515,-0.50976928,-0.266017298,0.155469296,0.177516101,0.139666079,10.74,0
256795,157865.0,-0.313323464,0.632376259,0.295129403,-0.633751527,0.52194027,-0.927914786,0.872894368,-0.103640555,-0.2289983,-0.125025558,0.866704036,0.859562677,-0.071144317,0.271862001,-1.088389325,0.074573213,-0.639493412,-0.283686108,0.192923939,-0.078872324,-0.201694314,-0.422014083,0.27715352,0.066153231,-0.492290472,0.11090455,0.139240068,0.061239772,7.14,0
254970,157004.0,-1.038325012,-0.322937461,1.346511922,-1.019179561,0.940626534,0.226181394,0.34852083,0.094751108,0.069205469,-0.296075029,0.374174422,0.46886616,0.549729462,-0.322474312,-0.118422289,0.77300978,-1.303278099,0.88616277,-0.012048648,0.589258303,0.259056152,0.680169344,-0.018716593,0.244245716,-0.000912195,0.624148164,0.091010887,-0.024651042,98.88,0
46754,42915.0,-0.246674476,1.224670588,-0.172651792,-0.317482622,1.657974885,0.44878894,0.852122578,0.157515072,-0.908181204,-1.035423146,0.406853726,-0.252077263,0.046096267,-1.281695266,0.4301797,0.851938068,0.45591905,1.047087191,0.380535339,0.024960727,-0.108533868,-0.289053627,-0.45463952,-1.826933095,0.229037612,0.446465705,0.032793733,0.05252192,0.76,0
140607,83819.0,-1.128097747,0.38368274,1.166830524,-1.063089544,0.335557812,-0.654503691,0.83163158,0.085094581,-0.143559557,-0.534170202,1.161581047,-0.011210782,-1.904697281,0.593921116,-0.631147689,0.693771692,-0.879355771,-0.361985052,-1.81900213,-0.600564907,-0.016117945,-0.131452657,0.353451563,0.155994541,-0.699337078,-0.258203876,-0.101768953,0.115347911,38.09,0
192790,129849.0,-0.294915935,0.30931143,-1.680923413,-1.226130007,3.647246553,2.944756936,0.226052104,0.826921456,-0.357323983,-1.000270849,0.176502666,-0.323330024,-0.294005301,-0.532734811,1.116585298,-0.096416081,0.384964865,0.63756381,-0.209619747,0.125339759,0.375475084,0.947948774,-0.099991834,0.638961303,-0.425105621,-0.140656581,0.230975732,0.246879506,19.98,0
267818,162943.0,-0.077527835,0.552456159,1.208823572,-0.374637451,0.297026561,0.121496951,0.228096478,0.056601879,0.27647973,-0.815195454,-0.900542426,0.74085858,1.575837208,-0.516150917,0.515052427,-0.118289613,-0.557673139,0.305560685,-0.000427564,0.045110265,0.338304026,1.178303561,-0.280292406,0.679349116,0.106928392,-0.094984467,0.095195856,0.045793671,5.0,0
189000,128227.0,-0.806222497,1.032044561,0.401275722,-0.189817065,1.444974013,-0.484374692,1.594791418,-0.22524584,-1.029363892,-0.575576358,0.407914325,0.926810937,0.366820484,0.333484378,-1.843315688,-0.259673832,-0.786332776,-0.104037884,-0.430442562,-0.223666206,0.062722626,0.235789913,-0.67785077,-0.368892068,1.455769853,-0.455550997,-0.185171754,-0.117354097,40.53,0
20772,31263.0,-0.721525834,-0.488172586,2.087150984,-2.634025042,-1.103834251,-0.31916458,-0.606412483,0.242060134,-2.205642676,1.036979042,0.470687349,-1.308731482,-0.813570709,-0.252692861,-0.270465395,0.342628726,-0.144204306,1.158201088,-0.545884993,-0.157472896,-0.023954072,0.207113862,-0.26539478,-0.061500338,0.402950183,-0.162554234,0.288431951,0.116616992,28.0,0
270359,164038.0,-1.243944926,1.688195337,-0.56357469,-0.888403586,1.378921165,-0.959252755,1.348329194,-0.932975676,0.482574958,0.016047629,-0.839583907,-0.099026332,1.04086433,-1.72911853,0.4643154,0.162005829,-0.120975312,0.689112536,-0.308516575,-0.204434987,0.371589392,0.943833135,-0.515099231,-0.695412199,-0.196229567,-0.319365222,-1.322959739,0.00198821,6.56,0
55883,47172.0,-1.244726339,1.264775591,1.017662686,0.566588783,-0.555248179,0.291579366,-0.170588831,0.614869834,0.192835041,-0.537544723,-1.784948309,0.445115061,0.884827761,-0.270521807,-0.190453287,0.163849576,-0.310490377,0.371994219,0.221541998,-0.245597989,0.184348035,0.570747938,-0.315097457,-0.412597528,0.338239929,-0.266939011,-0.711341073,-0.332654906,34.22,0
69105,53266.0,-0.909215734,0.878507202,1.594015802,-1.493142259,-0.002967146,-0.299311273,0.422402355,0.25218092,-0.077707767,-0.292999102,1.442576438,0.698416232,-0.184858576,0.118543952,0.08146672,0.485665014,-0.651498381,-0.308239519,-0.78386795,0.131370493,-0.034798044,0.011585232,-0.049453479,0.045768078,-0.39781897,0.736220141,0.375124059,0.223275113,0.69,0
165716,117611.0,2.057930272,-0.327732268,-2.726418753,-0.775523105,2.454901259,3.198474061,-0.451751851,0.733266592,0.487501013,0.029346206,0.056698812,0.285314721,-0.129718923,0.663992258,1.199933318,-0.249140856,-0.604949427,-0.137701769,-0.378915137,-0.16967548,0.256415813,0.789349312,0.040268671,0.738356944,0.28960664,-0.0807948,0.002804994,-0.064284536,1.0,0
276839,167325.0,1.988975884,0.152075036,-1.721576122,0.559874837,0.17675376,-1.50242816,0.367935558,-0.444919098,0.482977149,-0.508304812,-0.224355135,0.431369424,0.684093474,-0.856022543,0.826606393,0.17249421,0.361865243,0.420144375,-0.451800814,-0.091169044,0.225404417,0.780417827,-0.058629815,0.00309901,0.262235539,-0.110063889,-0.004550462,-0.023412448,38.75,0
184621,126313.0,1.94464778,-0.456586404,-0.784510587,0.106334297,-0.099595895,0.29831058,-0.539615662,0.18670455,1.048615857,0.004827549,0.250254578,0.736862249,-0.306734991,0.25314735,0.073854435,0.593906651,-1.007448668,0.522629786,0.497667775,-0.135853174,-0.209871962,-0.623904026,0.317075758,0.027649222,-0.389973574,-0.679016089,0.012396715,-0.036971049,36.44,0
183115,125662.0,1.784004837,-0.451798329,-1.477012762,0.045379783,0.975792342,1.459014193,-0.152992446,0.404306298,0.28462456,0.007196936,1.457157038,1.526563473,0.246285202,0.47814297,0.169381324,-1.203042611,0.576181128,-2.219244713,-0.891427325,-0.233428401,-0.080145849,-0.018487127,0.298831428,-1.814813274,-0.479994933,0.409252141,-0.012153991,-0.084943533,45.35,0
58333,48335.0,-5.392949277,-2.473906721,-2.175387813,0.779459529,-2.695715887,1.780964137,-0.503730177,2.143753901,0.084534382,-1.567607255,-1.225270468,0.816406022,-0.027592572,1.152084354,-0.159043834,1.057273042,0.556963492,0.495234468,1.797670615,-0.872612529,-0.154080507,-0.690440523,-0.448536493,-1.522883496,-0.277889361,1.05332405,-0.610708548,-1.252629418,261.08,0
90408,63008.0,-11.82023255,-17.24612524,1.357197856,2.619167849,15.25431253,-11.49578761,-10.85884451,1.378308588,-0.278136261,1.797904382,0.378242395,1.04296563,-0.325642324,1.276653589,0.0292547,-1.300470961,-0.232369391,1.677111842,-0.490121021,3.88385296,0.760875687,-2.551141817,3.570929549,-0.131222739,-0.383807735,0.360007544,-0.537746181,0.499229956,54.99,0
